year,acres,difference
2022-01-01,3215435,
2021-01-01,1097061,6028582.0
2020-01-01,1008914,9113422.0
2019-01-01,538959,4125405.0
2018-01-01,2170976,6596516.0
2017-01-01,2577471,7448615.0
2016-01-01,1959315,3550680.0
2015-01-01,623886,9501263.0
2014-01-01,843966,2751647.0
2013-01-01,719930,3599616.0
2012-01-01,1175960,6407823.0
