fires,acres,year,ytd_range
31000,3215435,2022-01-01,1/1/22-6/21/22
28926,1097061,2021-01-01,1/1/21-6/21/21
22439,1008914,2020-01-01,1/1/20-6/21/20
17875,538959,2019-01-01,1/1/19-6/21/19
27421,2170976,2018-01-01,1/1/18-6/21/18
27943,2577471,2017-01-01,1/1/17-6/21/17
23453,1959315,2016-01-01,1/1/16-6/21/16
25633,623886,2015-01-01,1/1/15-6/21/15
24466,843966,2014-01-01,1/1/14-6/21/14
20462,719930,2013-01-01,1/1/13-6/21/13
25322,1175960,2012-01-01,1/1/12-6/21/12
